 x_1         f_x1     grad_x1       x_1_step   
4.70809e-01  1.41243e+00  3.00000e+00  1.02171e-04  
4.70562e-01  -4.70562e-01  -1.00000e+00  2.47466e-04  
4.70391e-01  -4.70391e-01  -1.00000e+00  1.71153e-04  
4.70288e-01  1.41087e+00  3.00000e+00  1.02171e-04  
4.70041e-01  -4.70041e-01  -1.00000e+00  2.47486e-04  
4.69870e-01  -4.69870e-01  -1.00000e+00  1.71160e-04  
4.69768e-01  1.40930e+00  3.00000e+00  1.02171e-04  
4.69520e-01  -4.69520e-01  -1.00000e+00  2.47506e-04  
4.69349e-01  -4.69349e-01  -1.00000e+00  1.71166e-04  
4.69247e-01  1.40774e+00  3.00000e+00  1.02171e-04  
4.68999e-01  -4.68999e-01  -1.00000e+00  2.47525e-04  
4.68828e-01  -4.68828e-01  -1.00000e+00  1.71173e-04  
4.68726e-01  1.40618e+00  3.00000e+00  1.02171e-04  
4.68478e-01  -4.68478e-01  -1.00000e+00  2.47544e-04  
4.68307e-01  -4.68307e-01  -1.00000e+00  1.71179e-04  
4.68205e-01  1.40461e+00  3.00000e+00  1.02171e-04  
4.67957e-01  -4.67957e-01  -1.00000e+00  2.47561e-04  
4.67786e-01  -4.67786e-01  -1.00000e+00  1.71185e-04  
4.67684e-01  1.40305e+00  3.00000e+00  1.02171e-04  
4.67436e-01  -4.67436e-01  -1.00000e+00  2.47578e-04  
4.67265e-01  -4.67265e-01  -1.00000e+00  1.71191e-04  
4.67163e-01  1.40149e+00  3.00000e+00  1.02171e-04  
4.66916e-01  -4.66916e-01  -1.00000e+00  2.47595e-04  
4.66744e-01  -4.66744e-01  -1.00000e+00  1.71197e-04  
4.66642e-01  1.39993e+00  3.00000e+00  1.02171e-04  
4.66395e-01  -4.66395e-01  -1.00000e+00  2.47611e-04  
4.66223e-01  -4.66223e-01  -1.00000e+00  1.71202e-04  
4.66121e-01  1.39836e+00  3.00000e+00  1.02171e-04  
4.65874e-01  -4.65874e-01  -1.00000e+00  2.47627e-04  
4.65702e-01  -4.65702e-01  -1.00000e+00  1.71208e-04  
4.65600e-01  1.39680e+00  3.00000e+00  1.02171e-04  
4.65353e-01  -4.65353e-01  -1.00000e+00  2.47642e-04  
4.65181e-01  -4.65181e-01  -1.00000e+00  1.71213e-04  
4.65079e-01  1.39524e+00  3.00000e+00  1.02171e-04  
4.64831e-01  -4.64831e-01  -1.00000e+00  2.47656e-04  
4.64660e-01  -4.64660e-01  -1.00000e+00  1.71218e-04  
4.64558e-01  1.39367e+00  3.00000e+00  1.02171e-04  
4.64310e-01  -4.64310e-01  -1.00000e+00  2.47670e-04  
4.64139e-01  -4.64139e-01  -1.00000e+00  1.71223e-04  
4.64037e-01  1.39211e+00  3.00000e+00  1.02171e-04  
4.63789e-01  -4.63789e-01  -1.00000e+00  2.47684e-04  
4.63618e-01  -4.63618e-01  -1.00000e+00  1.71227e-04  
4.63516e-01  1.39055e+00  3.00000e+00  1.02171e-04  
4.63268e-01  -4.63268e-01  -1.00000e+00  2.47697e-04  
4.63097e-01  -4.63097e-01  -1.00000e+00  1.71232e-04  
4.62995e-01  1.38898e+00  3.00000e+00  1.02171e-04  
4.62747e-01  -4.62747e-01  -1.00000e+00  2.47710e-04  
4.62576e-01  -4.62576e-01  -1.00000e+00  1.71236e-04  
4.62474e-01  1.38742e+00  3.00000e+00  1.02171e-04  
4.62226e-01  -4.62226e-01  -1.00000e+00  2.47723e-04  
4.62055e-01  -4.62055e-01  -1.00000e+00  1.71241e-04  
4.61953e-01  1.38586e+00  3.00000e+00  1.02171e-04  
4.61705e-01  -4.61705e-01  -1.00000e+00  2.47735e-04  
4.61534e-01  -4.61534e-01  -1.00000e+00  1.71245e-04  
4.61431e-01  1.38429e+00  3.00000e+00  1.02171e-04  
4.61184e-01  -4.61184e-01  -1.00000e+00  2.47747e-04  
4.61012e-01  -4.61012e-01  -1.00000e+00  1.71249e-04  
4.60910e-01  1.38273e+00  3.00000e+00  1.02171e-04  
4.60663e-01  -4.60663e-01  -1.00000e+00  2.47758e-04  
4.60491e-01  -4.60491e-01  -1.00000e+00  1.71253e-04  
4.60389e-01  1.38117e+00  3.00000e+00  1.02171e-04  
4.60141e-01  -4.60141e-01  -1.00000e+00  2.47770e-04  
4.59970e-01  -4.59970e-01  -1.00000e+00  1.71257e-04  
4.59868e-01  1.37960e+00  3.00000e+00  1.02171e-04  
4.59620e-01  -4.59620e-01  -1.00000e+00  2.47780e-04  
4.59449e-01  -4.59449e-01  -1.00000e+00  1.71261e-04  
4.59347e-01  1.37804e+00  3.00000e+00  1.02171e-04  
4.59099e-01  -4.59099e-01  -1.00000e+00  2.47791e-04  
4.58928e-01  -4.58928e-01  -1.00000e+00  1.71264e-04  
